scenario_source,scenario,sector,region,year,emission_factor,emission_factor_unit
isf_2020,isf_nz,aviation,Global,2019,371.361256,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2020,371.361256,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2021,359.450439936,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2022,347.539623872,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2023,335.62880780800003,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2024,323.717991744,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2025,311.80717568,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2026,297.860686676,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2027,283.914197672,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2028,269.967708668,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2029,256.021219664,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2030,242.07473066,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2031,235.514582968,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2032,228.954435276,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2033,222.394287584,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2034,215.834139892,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2035,209.2739922,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2036,198.76344656,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2037,188.25290092,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2038,177.74235528,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2039,167.23180964,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,aviation,Global,2040,156.721264,tonnes of CO2 per passenger per km travelled
isf_2020,isf_nz,cement,Global,2019,0.516749759387949,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2020,0.470433482635737,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2021,0.45594091639022216,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2022,0.4414483501447074,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2023,0.4269557838991926,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2024,0.41246321765367777,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2025,0.397970651408163,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2026,0.3820092271074024,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2027,0.3660478028066418,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2028,0.3500863785058812,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2029,0.33412495420512056,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2030,0.31816352990436,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2031,0.306589880369342,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2032,0.295016230834324,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2033,0.283442581299306,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2034,0.271868931764288,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2035,0.26029528222927,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2036,0.2529174375930634,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2037,0.2455395929568568,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2038,0.2381617483206502,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2039,0.2307839036844436,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,cement,Global,2040,0.223406059048237,tonnes of CO2 per tonne of cement
isf_2020,isf_nz,steel,Global,2019,1.39002418968313,tonnes of CO2 per tonne of steel
isf_2020,isf_nz,steel,Global,2020,1.32271410068266,tonnes of CO2 per tonne of steel
isf_2020,isf_nz,steel,Global,2021,1.28356547666048,tonnes of CO2 per tonne of steel
isf_2020,isf_nz,steel,Global,2022,1.2444168526383,tonnes of CO2 per tonne of steel
