scenario_source,scenario,sector,technology,region,year,tmsr,smsp
isf_2020,isf_nz,coal,coal,global,2020,1,0
isf_2020,isf_nz,coal,coal,global,2021,0.942493808025278,-0.019604703779008446
isf_2020,isf_nz,coal,coal,global,2022,0.8849876160505561,-0.03920940755801689
isf_2020,isf_nz,coal,coal,global,2023,0.8274814240758341,-0.05881411133702534
isf_2020,isf_nz,coal,coal,global,2024,0.7699752321011122,-0.07841881511603378
isf_2020,isf_nz,coal,coal,global,2025,0.7124690401263902,-0.09802351889504222
isf_2020,isf_nz,coal,coal,global,2026,0.6182511182499905,-0.13014378952385586
isf_2020,isf_nz,coal,coal,global,2027,0.5240331963735907,-0.16226406015266945
isf_2020,isf_nz,coal,coal,global,2028,0.4298152744971909,-0.194384330781483
isf_2020,isf_nz,coal,coal,global,2029,0.33559735262079116,-0.22650460141029663
isf_2020,isf_nz,coal,coal,global,2030,0.24137943074439128,-0.2586248720391103
isf_2020,isf_nz,coal,coal,global,2031,0.20638436660387305,-0.2705552023677788
isf_2020,isf_nz,coal,coal,global,2032,0.17138930246335493,-0.28248553269644733
isf_2020,isf_nz,coal,coal,global,2033,0.13639423832283681,-0.2944158630251158
isf_2020,isf_nz,coal,coal,global,2034,0.1013991741823187,-0.3063461933537843
isf_2020,isf_nz,coal,coal,global,2035,0.06640411004180058,-0.31827652368245285
isf_2020,isf_nz,coal,coal,global,2036,0.05713054453044997,-0.3214380180986572
isf_2020,isf_nz,coal,coal,global,2037,0.047856979019099244,-0.3245995125148615
isf_2020,isf_nz,coal,coal,global,2038,0.03858341350774863,-0.32776100693106586
isf_2020,isf_nz,coal,coal,global,2039,0.02930984799639802,-0.3309225013472702
isf_2020,isf_nz,coal,coal,global,2040,0.020036282485047407,-0.33408399576347453
isf_2020,isf_nz,coal,coal,global,2041,0.01834000970439864,-0.33466228001863146
isf_2020,isf_nz,coal,coal,global,2042,0.016643736923749874,-0.3352405642737884
isf_2020,isf_nz,coal,coal,global,2043,0.014947464143100997,-0.3358188485289454
isf_2020,isf_nz,coal,coal,global,2044,0.01325119136245223,-0.3363971327841023
isf_2020,isf_nz,coal,coal,global,2045,0.011554918581803464,-0.33697541703925926
isf_2020,isf_nz,coal,coal,global,2046,0.011431698972261373,-0.3370174244103246
isf_2020,isf_nz,coal,coal,global,2047,0.011308479362719281,-0.33705943178139
isf_2020,isf_nz,coal,coal,global,2048,0.01118525975317719,-0.33710143915245533
isf_2020,isf_nz,coal,coal,global,2049,0.01106204014363521,-0.3371434465235207
isf_2020,isf_nz,coal,coal,global,2050,0.010938820534093119,-0.33718545389458604
isf_2020,isf_nz,oil and gas,gas,global,2020,1,0
isf_2020,isf_nz,oil and gas,gas,global,2021,0.9823689861016908,-0.004335305371449582
isf_2020,isf_nz,oil and gas,gas,global,2022,0.9647379722033816,-0.008670610742899165
isf_2020,isf_nz,oil and gas,gas,global,2023,0.9471069583050724,-0.013005916114348747
isf_2020,isf_nz,oil and gas,gas,global,2024,0.9294759444067633,-0.01734122148579833
isf_2020,isf_nz,oil and gas,gas,global,2025,0.911844930508454,-0.02167652685724791
isf_2020,isf_nz,oil and gas,gas,global,2026,0.9099404670217492,-0.022144817043578756
isf_2020,isf_nz,oil and gas,gas,global,2027,0.9080360035350444,-0.022613107229909602
isf_2020,isf_nz,oil and gas,gas,global,2028,0.9061315400483395,-0.023081397416240483
isf_2020,isf_nz,oil and gas,gas,global,2029,0.9042270765616347,-0.023549687602571326
isf_2020,isf_nz,oil and gas,gas,global,2030,0.9023226130749299,-0.024017977788902172
isf_2020,isf_nz,oil and gas,gas,global,2031,0.8613655173679963,-0.03408895374305715
isf_2020,isf_nz,oil and gas,gas,global,2032,0.8204084216610625,-0.04415992969721212
isf_2020,isf_nz,oil and gas,gas,global,2033,0.7794513259541289,-0.054230905651367095
isf_2020,isf_nz,oil and gas,gas,global,2034,0.7384942302471953,-0.06430188160552207
isf_2020,isf_nz,oil and gas,gas,global,2035,0.6975371345402617,-0.07437285755967704
isf_2020,isf_nz,oil and gas,gas,global,2036,0.6439592217266672,-0.08754717723020428
isf_2020,isf_nz,oil and gas,gas,global,2037,0.5903813089130725,-0.10072149690073152
isf_2020,isf_nz,oil and gas,gas,global,2038,0.5368033960994779,-0.11389581657125877
isf_2020,isf_nz,oil and gas,gas,global,2039,0.48322548328588333,-0.127070136241786
isf_2020,isf_nz,oil and gas,gas,global,2040,0.42964757047228874,-0.14024445591231327
isf_2020,isf_nz,oil and gas,gas,global,2041,0.37647315998438036,-0.15331955804435807
isf_2020,isf_nz,oil and gas,gas,global,2042,0.32329874949647197,-0.1663946601764029
isf_2020,isf_nz,oil and gas,gas,global,2043,0.2701243390085637,-0.1794697623084477
isf_2020,isf_nz,oil and gas,gas,global,2044,0.2169499285206553,-0.19254486444049249
isf_2020,isf_nz,oil and gas,gas,global,2045,0.16377551803274704,-0.20561996657253728
isf_2020,isf_nz,oil and gas,gas,global,2046,0.14001617728285265,-0.21146217157386143
isf_2020,isf_nz,oil and gas,gas,global,2047,0.11625683653295826,-0.21730437657518561
isf_2020,isf_nz,oil and gas,gas,global,2048,0.09249749578306388,-0.2231465815765098
isf_2020,isf_nz,oil and gas,gas,global,2049,0.06873815503316949,-0.22898878657783397
isf_2020,isf_nz,oil and gas,gas,global,2050,0.04497881428327499,-0.23483099157915818
isf_2020,isf_nz,oil and gas,oil,global,2020,1,0
isf_2020,isf_nz,oil and gas,oil,global,2021,0.9501491201377499,-0.020598107904839694
isf_2020,isf_nz,oil and gas,oil,global,2022,0.9002982402754999,-0.04119621580967939
isf_2020,isf_nz,oil and gas,oil,global,2023,0.85044736041325,-0.06179432371451902
isf_2020,isf_nz,oil and gas,oil,global,2024,0.800596480551,-0.0823924316193587
isf_2020,isf_nz,oil and gas,oil,global,2025,0.7507456006887498,-0.1029905395241984
isf_2020,isf_nz,oil and gas,oil,global,2026,0.6857864182014919,-0.12983131453117974
isf_2020,isf_nz,oil and gas,oil,global,2027,0.6208272357142341,-0.15667208953816109
isf_2020,isf_nz,oil and gas,oil,global,2028,0.5558680532269761,-0.18351286454514246
isf_2020,isf_nz,oil and gas,oil,global,2029,0.49090887073971823,-0.2103536395521238
isf_2020,isf_nz,oil and gas,oil,global,2030,0.42594968825246027,-0.23719441455910514
isf_2020,isf_nz,oil and gas,oil,global,2031,0.38868924421619455,-0.25259022400042325
isf_2020,isf_nz,oil and gas,oil,global,2032,0.3514288001799287,-0.2679860334417413
isf_2020,isf_nz,oil and gas,oil,global,2033,0.314168356143663,-0.2833818428830594
isf_2020,isf_nz,oil and gas,oil,global,2034,0.2769079121073972,-0.2987776523243775
isf_2020,isf_nz,oil and gas,oil,global,2035,0.23964746807113146,-0.3141734617656956
isf_2020,isf_nz,oil and gas,oil,global,2036,0.2218344446614824,-0.3215337045400911
isf_2020,isf_nz,oil and gas,oil,global,2037,0.20402142125183342,-0.3288939473144866
isf_2020,isf_nz,oil and gas,oil,global,2038,0.18620839784218424,-0.33625419008888224
isf_2020,isf_nz,oil and gas,oil,global,2039,0.16839537443253516,-0.3436144328632778
isf_2020,isf_nz,oil and gas,oil,global,2040,0.1505823510228862,-0.3509746756376733
isf_2020,isf_nz,oil and gas,oil,global,2041,0.1434775414685786,-0.35391034365892693
isf_2020,isf_nz,oil and gas,oil,global,2042,0.13637273191427102,-0.35684601168018054
isf_2020,isf_nz,oil and gas,oil,global,2043,0.12926792235996343,-0.35978167970143415
isf_2020,isf_nz,oil and gas,oil,global,2044,0.12216311280565584,-0.3627173477226878
isf_2020,isf_nz,oil and gas,oil,global,2045,0.11505830325134825,-0.36565301574394143
isf_2020,isf_nz,oil and gas,oil,global,2046,0.11271938231837719,-0.3666194449402034
isf_2020,isf_nz,oil and gas,oil,global,2047,0.11038046138540614,-0.3675858741364654
isf_2020,isf_nz,oil and gas,oil,global,2048,0.10804154045243486,-0.3685523033327274
isf_2020,isf_nz,oil and gas,oil,global,2049,0.1057026195194638,-0.36951873252898937
isf_2020,isf_nz,oil and gas,oil,global,2050,0.10336369858649275,-0.37048516172525137
isf_2020,isf_nz,coal,coal,oecd europe,2020,1,0
isf_2020,isf_nz,coal,coal,oecd europe,2021,0.8835374206940655,-0.02332863058759572
isf_2020,isf_nz,coal,coal,oecd europe,2022,0.7670748413881308,-0.046657261175191485
isf_2020,isf_nz,coal,coal,oecd europe,2023,0.6506122620821964,-0.0699858917627872
isf_2020,isf_nz,coal,coal,oecd europe,2024,0.5341496827762617,-0.09331452235038294
isf_2020,isf_nz,coal,coal,oecd europe,2025,0.4176871034703271,-0.11664315293797868
isf_2020,isf_nz,coal,coal,oecd europe,2026,0.34708302213906106,-0.13078586333619963
isf_2020,isf_nz,coal,coal,oecd europe,2027,0.276478940807795,-0.14492857373442056
isf_2020,isf_nz,coal,coal,oecd europe,2028,0.20587485947652895,-0.15907128413264146
isf_2020,isf_nz,coal,coal,oecd europe,2029,0.13527077814526278,-0.17321399453086242
isf_2020,isf_nz,coal,coal,oecd europe,2030,0.06466669681399684,-0.18735670492908332
isf_2020,isf_nz,coal,coal,oecd europe,2031,0.053193291584544666,-0.1896549438464661
isf_2020,isf_nz,coal,coal,oecd europe,2032,0.04171988635509272,-0.19195318276384887
isf_2020,isf_nz,coal,coal,oecd europe,2033,0.030246481125640545,-0.19425142168123166
isf_2020,isf_nz,coal,coal,oecd europe,2034,0.018773075896188374,-0.19654966059861448
isf_2020,isf_nz,coal,coal,oecd europe,2035,0.007299670666736202,-0.19884789951599727
isf_2020,isf_nz,coal,coal,oecd europe,2036,0.00710320828701827,-0.19888725291438594
isf_2020,isf_nz,coal,coal,oecd europe,2037,0.00690674590730056,-0.1989266063127746
isf_2020,isf_nz,coal,coal,oecd europe,2038,0.006710283527582628,-0.19896595971116326
isf_2020,isf_nz,coal,coal,oecd europe,2039,0.006513821147864696,-0.19900531310955194
isf_2020,isf_nz,coal,coal,oecd europe,2040,0.006317358768146986,-0.19904466650794056
isf_2020,isf_nz,coal,coal,oecd europe,2041,0.0062889457052695,-0.19905035793132894
isf_2020,isf_nz,coal,coal,oecd europe,2042,0.006260532642392236,-0.19905604935471724
isf_2020,isf_nz,coal,coal,oecd europe,2043,0.006232119579514972,-0.19906174077810557
isf_2020,isf_nz,coal,coal,oecd europe,2044,0.006203706516637708,-0.1990674322014939
isf_2020,isf_nz,coal,coal,oecd europe,2045,0.006175293453760333,-0.19907312362488222
isf_2020,isf_nz,coal,coal,oecd europe,2046,0.0061069634353623226,-0.19908681081751312
isf_2020,isf_nz,coal,coal,oecd europe,2047,0.006038633416963979,-0.19910049801014407
isf_2020,isf_nz,coal,coal,oecd europe,2048,0.005970303398565968,-0.19911418520277496
isf_2020,isf_nz,coal,coal,oecd europe,2049,0.0059019733801678465,-0.19912787239540589
isf_2020,isf_nz,coal,coal,oecd europe,2050,0.005833643361769614,-0.1991415595880368
isf_2020,isf_nz,oil and gas,gas,oecd europe,2020,1,0
isf_2020,isf_nz,oil and gas,gas,oecd europe,2021,0.9886002217872822,-0.004015463247434086
isf_2020,isf_nz,oil and gas,gas,oecd europe,2022,0.9772004435745647,-0.008030926494868095
isf_2020,isf_nz,oil and gas,gas,oecd europe,2023,0.9658006653618472,-0.012046389742302143
isf_2020,isf_nz,oil and gas,gas,oecd europe,2024,0.9544008871491295,-0.01606185298973619
isf_2020,isf_nz,oil and gas,gas,oecd europe,2025,0.9430011089364119,-0.020077316237170236
isf_2020,isf_nz,oil and gas,gas,oecd europe,2026,0.9150756250766048,-0.029913801826054028
isf_2020,isf_nz,oil and gas,gas,oecd europe,2027,0.8871501412167977,-0.03975028741493778
isf_2020,isf_nz,oil and gas,gas,oecd europe,2028,0.8592246573569905,-0.049586773003821576
isf_2020,isf_nz,oil and gas,gas,oecd europe,2029,0.8312991734971833,-0.05942325859270537
isf_2020,isf_nz,oil and gas,gas,oecd europe,2030,0.8033736896373763,-0.06925974418158912
isf_2020,isf_nz,oil and gas,gas,oecd europe,2031,0.7640360641100497,-0.08311604792705012
isf_2020,isf_nz,oil and gas,gas,oecd europe,2032,0.724698438582723,-0.09697235167251106
isf_2020,isf_nz,oil and gas,gas,oecd europe,2033,0.6853608130553963,-0.11082865541797206
isf_2020,isf_nz,oil and gas,gas,oecd europe,2034,0.6460231875280698,-0.12468495916343302
isf_2020,isf_nz,oil and gas,gas,oecd europe,2035,0.606685562000743,-0.138541262908894
isf_2020,isf_nz,oil and gas,gas,oecd europe,2036,0.5512330913304868,-0.15807386729828643
isf_2020,isf_nz,oil and gas,gas,oecd europe,2037,0.49578062066023043,-0.1776064716876789
isf_2020,isf_nz,oil and gas,gas,oecd europe,2038,0.44032814998997416,-0.19713907607707132
isf_2020,isf_nz,oil and gas,gas,oecd europe,2039,0.3848756793197178,-0.2166716804664638
isf_2020,isf_nz,oil and gas,gas,oecd europe,2040,0.3294232086494615,-0.2362042848558562
isf_2020,isf_nz,oil and gas,gas,oecd europe,2041,0.2914207801928279,-0.24959027815620094
isf_2020,isf_nz,oil and gas,gas,oecd europe,2042,0.2534183517361944,-0.2629762714565457
isf_2020,isf_nz,oil and gas,gas,oecd europe,2043,0.21541592327956083,-0.2763622647568904
isf_2020,isf_nz,oil and gas,gas,oecd europe,2044,0.17741349482292723,-0.28974825805723514
isf_2020,isf_nz,oil and gas,gas,oecd europe,2045,0.13941106636629375,-0.3031342513575798
isf_2020,isf_nz,oil and gas,gas,oecd europe,2046,0.11847164074498906,-0.3105099645017993
isf_2020,isf_nz,oil and gas,gas,oecd europe,2047,0.09753221512368448,-0.3178856776460187
isf_2020,isf_nz,oil and gas,gas,oecd europe,2048,0.07659278950237991,-0.3252613907902381
isf_2020,isf_nz,oil and gas,gas,oecd europe,2049,0.05565336388107511,-0.33263710393445756
isf_2020,isf_nz,oil and gas,gas,oecd europe,2050,0.03471393825977054,-0.340012817078677
isf_2020,isf_nz,oil and gas,oil,oecd europe,2020,1,0
isf_2020,isf_nz,oil and gas,oil,oecd europe,2021,0.9258879378183591,-0.0331614001052714
isf_2020,isf_nz,oil and gas,oil,oecd europe,2022,0.851775875636718,-0.06632280021054289
isf_2020,isf_nz,oil and gas,oil,oecd europe,2023,0.7776638134550771,-0.09948420031581429
isf_2020,isf_nz,oil and gas,oil,oecd europe,2024,0.7035517512734359,-0.13264560042108578
isf_2020,isf_nz,oil and gas,oil,oecd europe,2025,0.629439689091795,-0.16580700052635716
isf_2020,isf_nz,oil and gas,oil,oecd europe,2026,0.553407244755971,-0.19982767453516412
isf_2020,isf_nz,oil and gas,oil,oecd europe,2027,0.4773748004201469,-0.23384834854397113
isf_2020,isf_nz,oil and gas,oil,oecd europe,2028,0.4013423560843228,-0.2678690225527781
isf_2020,isf_nz,oil and gas,oil,oecd europe,2029,0.32530991174849877,-0.3018896965615851
isf_2020,isf_nz,oil and gas,oil,oecd europe,2030,0.24927746741267476,-0.335910370570392
isf_2020,isf_nz,oil and gas,oil,oecd europe,2031,0.23548229967301837,-0.34208301053570395
isf_2020,isf_nz,oil and gas,oil,oecd europe,2032,0.22168713193336176,-0.348255650501016
isf_2020,isf_nz,oil and gas,oil,oecd europe,2033,0.20789196419370515,-0.354428290466328
isf_2020,isf_nz,oil and gas,oil,oecd europe,2034,0.19409679645404865,-0.36060093043163993
isf_2020,isf_nz,oil and gas,oil,oecd europe,2035,0.18030162871439226,-0.36677357039695185
isf_2020,isf_nz,oil and gas,oil,oecd europe,2036,0.1706394438913219,-0.37109690950501256
isf_2020,isf_nz,oil and gas,oil,oecd europe,2037,0.16097725906825167,-0.37542024861307327
isf_2020,isf_nz,oil and gas,oil,oecd europe,2038,0.1513150742451813,-0.379743587721134
isf_2020,isf_nz,oil and gas,oil,oecd europe,2039,0.14165288942211118,-0.3840669268291946
isf_2020,isf_nz,oil and gas,oil,oecd europe,2040,0.13199070459904094,-0.3883902659372553
isf_2020,isf_nz,oil and gas,oil,oecd europe,2041,0.12955920861888237,-0.38947823743175747
isf_2020,isf_nz,oil and gas,oil,oecd europe,2042,0.12712771263872402,-0.39056620892625954
isf_2020,isf_nz,oil and gas,oil,oecd europe,2043,0.12469621665856545,-0.39165418042076167
isf_2020,isf_nz,oil and gas,oil,oecd europe,2044,0.1222647206784071,-0.39274215191526374
isf_2020,isf_nz,oil and gas,oil,oecd europe,2045,0.11983322469824864,-0.39383012340976586
isf_2020,isf_nz,oil and gas,oil,oecd europe,2046,0.11806808244452849,-0.39461993530806216
isf_2020,isf_nz,oil and gas,oil,oecd europe,2047,0.11630294019080845,-0.3954097472063584
isf_2020,isf_nz,oil and gas,oil,oecd europe,2048,0.11453779793708851,-0.3961995591046546
isf_2020,isf_nz,oil and gas,oil,oecd europe,2049,0.11277265568336836,-0.3969893710029509
isf_2020,isf_nz,oil and gas,oil,oecd europe,2050,0.11100751342964843,-0.3977791829012471
isf_2020,isf_nz,coal,coal,oecd north america,2020,1,0
isf_2020,isf_nz,coal,coal,oecd north america,2021,0.8582571051130468,-0.024091297413286767
isf_2020,isf_nz,coal,coal,oecd north america,2022,0.7165142102260937,-0.04818259482657351
isf_2020,isf_nz,coal,coal,oecd north america,2023,0.5747713153391407,-0.07227389223986026
isf_2020,isf_nz,coal,coal,oecd north america,2024,0.4330284204521876,-0.09636518965314703
