scenario_source,scenario,sector,technology,region,year,tmsr,smsp
nze_2021,nze2021,automotive,electric,global,2020,1,0
nze_2021,nze2021,automotive,electric,global,2021,3.1253682170542674,0.059442262618278896
nze_2021,nze2021,automotive,electric,global,2022,5.250736434108535,0.11888452523655779
nze_2021,nze2021,automotive,electric,global,2023,7.376104651162801,0.17832678785483666
nze_2021,nze2021,automotive,electric,global,2024,9.50147286821707,0.23776905047311558
nze_2021,nze2021,automotive,electric,global,2025,11.626841085271336,0.2972113130913945
nze_2021,nze2021,automotive,electric,global,2026,13.752209302325602,0.3566535757096733
nze_2021,nze2021,automotive,electric,global,2027,15.877577519379868,0.4160958383279522
nze_2021,nze2021,automotive,electric,global,2028,18.00294573643414,0.47553810094623117
nze_2021,nze2021,automotive,electric,global,2029,20.128313953488405,0.5349803635645101
nze_2021,nze2021,automotive,electric,global,2030,22.25368217054267,0.594422626182789
nze_2021,nze2021,automotive,fuelcell,global,2020,1,0
nze_2021,nze2021,automotive,fuelcell,global,2021,22.963479758828566,0.0032907548208072493
nze_2021,nze2021,automotive,fuelcell,global,2022,44.92695951765713,0.006581509641614499
nze_2021,nze2021,automotive,fuelcell,global,2023,66.8904392764857,0.009872264462421747
nze_2021,nze2021,automotive,fuelcell,global,2024,88.85391903531426,0.013163019283228997
nze_2021,nze2021,automotive,fuelcell,global,2025,110.81739879414283,0.016453774104036246
nze_2021,nze2021,automotive,fuelcell,global,2026,132.7808785529714,0.019744528924843494
nze_2021,nze2021,automotive,fuelcell,global,2027,154.74435831179994,0.023035283745650743
nze_2021,nze2021,automotive,fuelcell,global,2028,176.70783807062853,0.026326038566457995
nze_2021,nze2021,automotive,fuelcell,global,2029,198.6713178294571,0.029616793387265243
nze_2021,nze2021,automotive,fuelcell,global,2030,220.63479758828566,0.03290754820807249
nze_2021,nze2021,automotive,hybrid,global,2020,1,0
nze_2021,nze2021,automotive,hybrid,global,2021,1.5657084409991382,0.006780738935107821
nze_2021,nze2021,automotive,hybrid,global,2022,2.131416881998276,0.013561477870215641
nze_2021,nze2021,automotive,hybrid,global,2023,2.697125322997414,0.020342216805323457
nze_2021,nze2021,automotive,hybrid,global,2024,3.2628337639965523,0.02712295574043128
nze_2021,nze2021,automotive,hybrid,global,2025,3.8285422049956908,0.0339036946755391
nze_2021,nze2021,automotive,hybrid,global,2026,4.394250645994829,0.040684433610646914
nze_2021,nze2021,automotive,hybrid,global,2027,4.959959086993967,0.04746517254575474
nze_2021,nze2021,automotive,hybrid,global,2028,5.525667527993105,0.054245911480862566
nze_2021,nze2021,automotive,hybrid,global,2029,6.091375968992243,0.06102665041597038
nze_2021,nze2021,automotive,hybrid,global,2030,6.6570844099913815,0.0678073893510782
nze_2021,nze2021,automotive,ice,global,2020,1,0
nze_2021,nze2021,automotive,ice,global,2021,0.9422077550607808,-0.055408456608149324
nze_2021,nze2021,automotive,ice,global,2022,0.8844155101215616,-0.11081691321629854
nze_2021,nze2021,automotive,ice,global,2023,0.8266232651823425,-0.16622536982444777
nze_2021,nze2021,automotive,ice,global,2024,0.7688310202431233,-0.22163382643259708
nze_2021,nze2021,automotive,ice,global,2025,0.7110387753039042,-0.2770422830407463
nze_2021,nze2021,automotive,ice,global,2026,0.653246530364685,-0.33245073964889554
nze_2021,nze2021,automotive,ice,global,2027,0.5954542854254659,-0.38785919625704485
nze_2021,nze2021,automotive,ice,global,2028,0.5376620404862467,-0.44326765286519415
nze_2021,nze2021,automotive,ice,global,2029,0.4798697955470276,-0.4986761094733434
nze_2021,nze2021,automotive,ice,global,2030,0.4220775506078085,-0.5540845660814926
nze_2021,nze2021,coal,coal,global,2020,1,0
nze_2021,nze2021,coal,coal,global,2021,0.9467532467532468,-0.053246753246753174
nze_2021,nze2021,coal,coal,global,2022,0.8935064935064935,-0.10649350649350653
nze_2021,nze2021,coal,coal,global,2023,0.8402597402597403,-0.1597402597402597
nze_2021,nze2021,coal,coal,global,2024,0.7870129870129869,-0.21298701298701306
nze_2021,nze2021,coal,coal,global,2025,0.7337662337662338,-0.2662337662337662
nze_2021,nze2021,coal,coal,global,2026,0.6805194805194805,-0.3194805194805194
nze_2021,nze2021,coal,coal,global,2027,0.6272727272727272,-0.37272727272727274
nze_2021,nze2021,coal,coal,global,2028,0.574025974025974,-0.425974025974026
nze_2021,nze2021,coal,coal,global,2029,0.5207792207792208,-0.4792207792207792
nze_2021,nze2021,coal,coal,global,2030,0.4675324675324676,-0.5324675324675324
nze_2021,nze2021,oil & gas,gas,global,2020,1,0
nze_2021,nze2021,oil & gas,gas,global,2021,0.9941605839416058,-0.0025806451612903594
nze_2021,nze2021,oil & gas,gas,global,2022,0.9883211678832117,-0.005161290322580627
nze_2021,nze2021,oil & gas,gas,global,2023,0.9824817518248175,-0.007741935483870986
nze_2021,nze2021,oil & gas,gas,global,2024,0.9766423357664235,-0.010322580645161254
nze_2021,nze2021,oil & gas,gas,global,2025,0.9708029197080292,-0.012903225806451613
nze_2021,nze2021,oil & gas,gas,global,2026,0.9649635036496349,-0.015483870967741972
nze_2021,nze2021,oil & gas,gas,global,2027,0.9591240875912409,-0.01806451612903224
nze_2021,nze2021,oil & gas,gas,global,2028,0.9532846715328467,-0.020645161290322598
nze_2021,nze2021,oil & gas,gas,global,2029,0.9474452554744527,-0.023225806451612867
nze_2021,nze2021,oil & gas,gas,global,2030,0.9416058394160584,-0.025806451612903226
nze_2021,nze2021,oil & gas,oil,global,2020,1,0
nze_2021,nze2021,oil & gas,oil,global,2021,0.9791907514450867,-0.011612903225806433
nze_2021,nze2021,oil & gas,oil,global,2022,0.9583815028901734,-0.023225806451612867
nze_2021,nze2021,oil & gas,oil,global,2023,0.93757225433526,-0.034838709677419394
nze_2021,nze2021,oil & gas,oil,global,2024,0.9167630057803468,-0.046451612903225824
nze_2021,nze2021,oil & gas,oil,global,2025,0.8959537572254335,-0.05806451612903226
nze_2021,nze2021,oil & gas,oil,global,2026,0.8751445086705203,-0.06967741935483869
nze_2021,nze2021,oil & gas,oil,global,2027,0.854335260115607,-0.08129032258064513
nze_2021,nze2021,oil & gas,oil,global,2028,0.8335260115606936,-0.09290322580645165
nze_2021,nze2021,oil & gas,oil,global,2029,0.8127167630057803,-0.10451612903225808
nze_2021,nze2021,oil & gas,oil,global,2030,0.791907514450867,-0.11612903225806452
nze_2021,nze2021,power,coalcap,global,2020,1,0
nze_2021,nze2021,power,coalcap,global,2021,0.9587818696883853,-0.011223965029570578
nze_2021,nze2021,power,coalcap,global,2022,0.9175637393767706,-0.022447930059141155
nze_2021,nze2021,power,coalcap,global,2023,0.8763456090651558,-0.03367189508871176
nze_2021,nze2021,power,coalcap,global,2024,0.835127478753541,-0.04489586011828234
