scenario_source,scenario,sector,technology,region,year,tmsr,smsp
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2020,1,0
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2021,0.996068152,-9.93801e-4
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2022,0.992136304,-0.001987601
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2023,0.988204456,-0.002981402
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2024,0.984272608,-0.003975202
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2025,0.98034076,-0.004969003
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2026,0.97457405,-0.006426577
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2027,0.968807339,-0.007884151
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2028,0.963040629,-0.009341725
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2029,0.957273919,-0.0107993
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2030,0.951507208,-0.012256874
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2031,0.867889908,-0.033391699
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2032,0.784272608,-0.054526525
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2033,0.700655308,-0.075661351
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2034,0.617038008,-0.096796176
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2035,0.533420708,-0.117931002
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2036,0.5420707730000001,-0.115744641
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2037,0.550720839,-0.113558279
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2038,0.559370904,-0.111371918
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2039,0.5680209700000001,-0.109185557
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2040,0.5766710349999999,-0.106999195
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2041,0.536304063,-0.117202215
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2042,0.49593708999999997,-0.127405234
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2043,0.455570118,-0.137608253
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2044,0.415203145,-0.147811273
etp_2017,b2ds,power,coalcap,association of southeast asian nations,2045,0.37483617300000005,-0.158014292
