scenario_source,scenario,sector,technology,region,year,tmsr,smsp
weo_2020,sds,coal,coal,global,2020,1,0
weo_2020,sds,coal,coal,global,2021,0.9558949118552595,-0.02479258683818519
weo_2020,sds,coal,coal,global,2022,0.911789823710519,-0.04958517367637038
weo_2020,sds,coal,coal,global,2023,0.8676847355657784,-0.07437776051455566
weo_2020,sds,coal,coal,global,2024,0.8235796474210378,-0.09917034735274086
weo_2020,sds,coal,coal,global,2025,0.7794745592762974,-0.12396293419092604
weo_2020,sds,coal,coal,global,2026,0.7425508897544972,-0.14471866377930118
weo_2020,sds,coal,coal,global,2027,0.705627220232697,-0.1654743933676763
weo_2020,sds,coal,coal,global,2028,0.6687035507108968,-0.18623012295605137
weo_2020,sds,coal,coal,global,2029,0.6317798811890967,-0.2069858525444265
weo_2020,sds,coal,coal,global,2030,0.5948562116672964,-0.22774158213280163
weo_2020,sds,coal,coal,global,2031,0.5697122655462581,-0.24187563092133876
weo_2020,sds,coal,coal,global,2032,0.5445683194252198,-0.25600967970987587
weo_2020,sds,coal,coal,global,2033,0.5194243733041815,-0.27014372849841295
weo_2020,sds,coal,coal,global,2034,0.49428042718314313,-0.2842777772869501
weo_2020,sds,coal,coal,global,2035,0.4691364810621048,-0.2984118260754872
weo_2020,sds,coal,coal,global,2036,0.4439925349410665,-0.3125458748640243
weo_2020,sds,coal,coal,global,2037,0.4188485888200282,-0.32667992365256143
weo_2020,sds,coal,coal,global,2038,0.39370464269898997,-0.3408139724410985
weo_2020,sds,coal,coal,global,2039,0.36856069657795165,-0.35494802122963565
weo_2020,sds,coal,coal,global,2040,0.3434167504569132,-0.3690820700181728
weo_2020,sds,oil and gas,gas,global,2020,1,0
weo_2020,sds,oil and gas,gas,global,2021,1.003162531699474,0.0013535830140654298
weo_2020,sds,oil and gas,gas,global,2022,1.0063250633989476,0.0027071660281307646
weo_2020,sds,oil and gas,gas,global,2023,1.0094875950984212,0.0040607490421961
weo_2020,sds,oil and gas,gas,global,2024,1.0126501267978951,0.005414332056261529
weo_2020,sds,oil and gas,gas,global,2025,1.0158126584973688,0.006767915070326864
weo_2020,sds,oil and gas,gas,global,2026,1.0076052731345717,0.0032551036671021783
weo_2020,sds,oil and gas,gas,global,2027,0.9993978877717745,-2.577077361225074e-4
weo_2020,sds,oil and gas,gas,global,2028,0.9911905024089773,-0.0037705191393472407
weo_2020,sds,oil and gas,gas,global,2029,0.98298311704618,-0.007283330542571974
weo_2020,sds,oil and gas,gas,global,2030,0.9747757316833828,-0.01079614194579666
weo_2020,sds,oil and gas,gas,global,2031,0.9639555091968601,-0.015427263704545334
weo_2020,sds,oil and gas,gas,global,2032,0.9531352867103373,-0.020058385463294057
weo_2020,sds,oil and gas,gas,global,2033,0.9423150642238145,-0.02468950722204273
weo_2020,sds,oil and gas,gas,global,2034,0.9314948417372918,-0.029320628980791408
weo_2020,sds,oil and gas,gas,global,2035,0.9206746192507691,-0.03395175073954008
weo_2020,sds,oil and gas,gas,global,2036,0.9098543967642463,-0.0385828724982888
weo_2020,sds,oil and gas,gas,global,2037,0.8990341742777235,-0.04321399425703748
weo_2020,sds,oil and gas,gas,global,2038,0.8882139517912008,-0.04784511601578615
weo_2020,sds,oil and gas,gas,global,2039,0.8773937293046778,-0.052476237774534876
weo_2020,sds,oil and gas,gas,global,2040,0.8665735068181551,-0.05710735953328355
weo_2020,sds,oil and gas,oil,global,2020,1,0
weo_2020,sds,oil and gas,oil,global,2021,0.9907908070203882,-9.088119489014574e-5
weo_2020,sds,oil and gas,oil,global,2022,0.9815816140407765,-1.8176238978029148e-4
weo_2020,sds,oil and gas,oil,global,2023,0.9723724210611648,-2.7264358467043575e-4
weo_2020,sds,oil and gas,oil,global,2024,0.9631632280815532,-3.6352477956058004e-4
weo_2020,sds,oil and gas,oil,global,2025,0.9539540351019414,-4.5440597445072574e-4
weo_2020,sds,oil and gas,oil,global,2026,0.9414615646252509,-5.776882909973567e-4
weo_2020,sds,oil and gas,oil,global,2027,0.9289690941485602,-7.009706075439892e-4
weo_2020,sds,oil and gas,oil,global,2028,0.9164766236718696,-8.242529240906201e-4
weo_2020,sds,oil and gas,oil,global,2029,0.9039841531951789,-9.475352406372525e-4
weo_2020,sds,oil and gas,oil,global,2030,0.8914916827184882,-0.0010708175571838834
weo_2020,sds,oil and gas,oil,global,2031,0.8704110617464969,-0.001278852292388402
weo_2020,sds,oil and gas,oil,global,2032,0.8493304407745055,-0.0014868870275929205
weo_2020,sds,oil and gas,oil,global,2033,0.8282498198025141,-0.001694921762797439
weo_2020,sds,oil and gas,oil,global,2034,0.8071691988305226,-0.0019029564980019573
weo_2020,sds,oil and gas,oil,global,2035,0.7860885778585313,-0.002110991233206476
weo_2020,sds,oil and gas,oil,global,2036,0.7650079568865399,-0.0023190259684109944
weo_2020,sds,oil and gas,oil,global,2037,0.7439273359145484,-0.002527060703615513
weo_2020,sds,oil and gas,oil,global,2038,0.722846714942557,-0.002735095438820031
weo_2020,sds,oil and gas,oil,global,2039,0.7017660939705657,-0.0029431301740245495
weo_2020,sds,oil and gas,oil,global,2040,0.6806854729985743,-0.003151164909229068
weo_2020,sps,coal,coal,global,2020,1,0
weo_2020,sps,coal,coal,global,2021,0.9845689842607502,-0.008749912648797722
weo_2020,sps,coal,coal,global,2022,0.9691379685215007,-0.01749982529759535
weo_2020,sps,coal,coal,global,2023,0.953706952782251,-0.026249737946393074
weo_2020,sps,coal,coal,global,2024,0.9382759370430013,-0.0349996505951908
weo_2020,sps,coal,coal,global,2025,0.9228449213037515,-0.04374956324398852
weo_2020,sps,coal,coal,global,2026,0.9189732330511787,-0.045944942639994185
weo_2020,sps,coal,coal,global,2027,0.915101544798606,-0.048140322035999855
weo_2020,sps,coal,coal,global,2028,0.9112298565460333,-0.05033570143200552
weo_2020,sps,coal,coal,global,2029,0.9073581682934605,-0.05253108082801119
weo_2020,sps,coal,coal,global,2030,0.9034864800408877,-0.05472646022401686
weo_2020,sps,coal,coal,global,2031,0.8986178396457608,-0.057487145514967086
weo_2020,sps,coal,coal,global,2032,0.8937491992506341,-0.06024783080591723
weo_2020,sps,coal,coal,global,2033,0.8888805588555072,-0.06300851609686747
weo_2020,sps,coal,coal,global,2034,0.8840119184603805,-0.06576920138781761
weo_2020,sps,coal,coal,global,2035,0.8791432780652536,-0.06852988667876785
weo_2020,sps,coal,coal,global,2036,0.8742746376701267,-0.07129057196971808
weo_2020,sps,coal,coal,global,2037,0.869405997275,-0.07405125726066822
weo_2020,sps,coal,coal,global,2038,0.8645373568798731,-0.07681194255161845
weo_2020,sps,coal,coal,global,2039,0.8596687164847464,-0.07957262784256859
weo_2020,sps,coal,coal,global,2040,0.8548000760896195,-0.08233331313351883
weo_2020,sps,oil and gas,gas,global,2020,1,0
weo_2020,sps,oil and gas,gas,global,2021,1.0108745657088507,0.0046016881232567525
weo_2020,sps,oil and gas,gas,global,2022,1.0217491314177014,0.009203376246513505
weo_2020,sps,oil and gas,gas,global,2023,1.0326236971265519,0.013805064369770165
weo_2020,sps,oil and gas,gas,global,2024,1.0434982628354026,0.018406752493026916
weo_2020,sps,oil and gas,gas,global,2025,1.0543728285442533,0.02300844061628367
weo_2020,sps,oil and gas,gas,global,2026,1.0666762358221604,0.02821475824423796
weo_2020,sps,oil and gas,gas,global,2027,1.0789796431000678,0.03342107587219225
weo_2020,sps,oil and gas,gas,global,2028,1.091283050377975,0.03862739350014645
weo_2020,sps,oil and gas,gas,global,2029,1.103586457655882,0.043833711128100736
weo_2020,sps,oil and gas,gas,global,2030,1.1158898649337894,0.049040028756055024
weo_2020,sps,oil and gas,gas,global,2031,1.1306034898118733,0.05526625559253712
weo_2020,sps,oil and gas,gas,global,2032,1.1453171146899572,0.06149248242901921
weo_2020,sps,oil and gas,gas,global,2033,1.1600307395680411,0.0677187092655013
weo_2020,sps,oil and gas,gas,global,2034,1.1747443644461253,0.0739449361019834
weo_2020,sps,oil and gas,gas,global,2035,1.1894579893242094,0.08017116293846559
weo_2020,sps,oil and gas,gas,global,2036,1.2041716142022934,0.08639738977494768
weo_2020,sps,oil and gas,gas,global,2037,1.2188852390803773,0.09262361661142977
weo_2020,sps,oil and gas,gas,global,2038,1.2335988639584612,0.09884984344791187
weo_2020,sps,oil and gas,gas,global,2039,1.2483124888365453,0.10507607028439396
weo_2020,sps,oil and gas,gas,global,2040,1.2630261137146293,0.11130229712087605
weo_2020,sps,oil and gas,oil,global,2020,1,0
weo_2020,sps,oil and gas,oil,global,2021,1.0035441383383268,3.475109699102487e-5
weo_2020,sps,oil and gas,oil,global,2022,1.0070882766766533,6.950219398204974e-5
weo_2020,sps,oil and gas,oil,global,2023,1.0106324150149801,1.0425329097307462e-4
weo_2020,sps,oil and gas,oil,global,2024,1.0141765533533067,0.00013900438796409949
weo_2020,sps,oil and gas,oil,global,2025,1.0177206916916335,1.7375548495512436e-4
weo_2020,sps,oil and gas,oil,global,2026,1.02431082622203,2.3837327985695475e-4
weo_2020,sps,oil and gas,oil,global,2027,1.0309009607524264,3.0299107475878517e-4
weo_2020,sps,oil and gas,oil,global,2028,1.037491095282823,3.6760886966061556e-4
weo_2020,sps,oil and gas,oil,global,2029,1.0440812298132194,4.3222666456244594e-4
weo_2020,sps,oil and gas,oil,global,2030,1.0506713643436156,4.968444594642764e-4
weo_2020,sps,oil and gas,oil,global,2031,1.051367733237468,5.036725177006312e-4
weo_2020,sps,oil and gas,oil,global,2032,1.0520641021313202,5.10500575936986e-4
weo_2020,sps,oil and gas,oil,global,2033,1.0527604710251726,5.173286341733424e-4
weo_2020,sps,oil and gas,oil,global,2034,1.053456839919025,5.241566924096973e-4
weo_2020,sps,oil and gas,oil,global,2035,1.054153208812877,5.309847506460521e-4
weo_2020,sps,oil and gas,oil,global,2036,1.0548495777067295,5.37812808882407e-4
weo_2020,sps,oil and gas,oil,global,2037,1.0555459466005817,5.446408671187619e-4
weo_2020,sps,oil and gas,oil,global,2038,1.056242315494434,5.514689253551182e-4
weo_2020,sps,oil and gas,oil,global,2039,1.0569386843882864,5.58296983591473e-4
weo_2020,sps,oil and gas,oil,global,2040,1.0576350532821386,5.65125041827828e-4
weo_2020,sps,power,renewablescap,advanced economies,2020,1,0
weo_2020,sps,power,renewablescap,advanced economies,2021,1.093802516,0.018905041
weo_2020,sps,power,renewablescap,advanced economies,2022,1.187605031,0.037810082
weo_2020,sps,power,renewablescap,advanced economies,2023,1.281407547,0.056715123
weo_2020,sps,power,renewablescap,advanced economies,2024,1.375210062,0.075620164
weo_2020,sps,power,renewablescap,advanced economies,2025,1.469012578,0.094525205
weo_2020,sps,power,renewablescap,advanced economies,2026,1.552106481,0.111272022
weo_2020,sps,power,renewablescap,advanced economies,2027,1.635200384,0.12801884
weo_2020,sps,power,renewablescap,advanced economies,2028,1.718294287,0.144765658
weo_2020,sps,power,renewablescap,advanced economies,2029,1.80138819,0.161512476
weo_2020,sps,power,renewablescap,advanced economies,2030,1.884482093,0.178259293
weo_2020,sps,power,renewablescap,advanced economies,2031,1.9509684040000002,0.191659002
weo_2020,sps,power,renewablescap,advanced economies,2032,2.017454715,0.205058712
weo_2020,sps,power,renewablescap,advanced economies,2033,2.0839410259999998,0.218458421
weo_2020,sps,power,renewablescap,advanced economies,2034,2.150427337,0.23185813
weo_2020,sps,power,renewablescap,advanced economies,2035,2.2169136480000002,0.245257839
weo_2020,sps,power,renewablescap,advanced economies,2036,2.283399959,0.258657548
weo_2020,sps,power,renewablescap,advanced economies,2037,2.34988627,0.272057258
weo_2020,sps,power,renewablescap,advanced economies,2038,2.416372581,0.285456967
weo_2020,sps,power,renewablescap,advanced economies,2039,2.4828588920000003,0.298856676
weo_2020,sps,power,renewablescap,advanced economies,2040,2.5493452029999997,0.312256385
weo_2020,sps,power,renewablescap,advanced economies,2041,0,-0.201540873
weo_2020,sps,power,renewablescap,advanced economies,2042,0,-0.201540873
weo_2020,sps,power,renewablescap,advanced economies,2043,0,-0.201540873
weo_2020,sps,power,renewablescap,advanced economies,2044,0,-0.201540873
weo_2020,sps,power,renewablescap,advanced economies,2045,0,-0.201540873
